GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restcountries,eu.fayder.restcountries.rest,CountryServiceBase,13,425,2,60,2,90,2,42,0,13
restcountries,eu.fayder.restcountries.domain,BaseCountry,0,57,0,0,0,19,0,19,0,19
restcountries,eu.fayder.restcountries.domain,ResponseEntity,6,9,0,0,2,4,2,1,2,1
restcountries,eu.fayder.restcountries.servlet,NotFoundExceptionMapper,0,15,0,0,0,4,0,3,0,3
restcountries,eu.fayder.restcountries.servlet,RestApplication,0,32,0,0,0,7,0,2,0,2
restcountries,eu.fayder.restcountries.servlet,CORSFilter,30,0,0,0,9,0,4,0,4,0
restcountries,eu.fayder.restcountries.v1.domain,CountryTranslations,20,18,0,0,10,6,5,6,5,6
restcountries,eu.fayder.restcountries.v1.domain,Country,0,15,0,0,0,5,0,5,0,5
restcountries,eu.fayder.restcountries.v2.domain,Country,0,21,0,0,0,7,0,7,0,7
restcountries,eu.fayder.restcountries.v2.domain,Translations,0,18,0,0,0,6,0,6,0,6
restcountries,eu.fayder.restcountries.v2.domain,Contribution,21,0,0,0,4,0,4,0,4,0
restcountries,eu.fayder.restcountries.v2.domain,Currency,12,12,0,0,6,4,3,4,3,4
restcountries,eu.fayder.restcountries.v2.domain,RegionalBloc,0,31,0,4,0,9,0,7,0,5
restcountries,eu.fayder.restcountries.v2.domain,Language,16,15,0,0,8,5,4,5,4,5
restcountries,eu.fayder.restcountries,Application,5,3,0,0,2,1,1,1,1,1
restcountries,eu.fayder.restcountries.v2.rest,StripeRest,96,7,8,0,21,2,7,2,3,2
restcountries,eu.fayder.restcountries.v2.rest,CountryService,0,256,0,36,0,54,0,34,0,16
restcountries,eu.fayder.restcountries.v2.rest,CountryRestV2,101,624,4,54,30,105,5,47,1,22
restcountries,eu.fayder.restcountries.v2.rest,CountryService.InstanceHolder,0,6,0,0,0,1,0,1,0,1
restcountries,eu.fayder.restcountries.v1.rest,CountryRestV1,91,294,4,36,27,61,5,31,1,15
restcountries,eu.fayder.restcountries.v1.rest,CountryService,0,134,0,12,0,31,0,20,0,14
restcountries,eu.fayder.restcountries.v1.rest,CountryService.InstanceHolder,0,6,0,0,0,1,0,1,0,1
